ProperName,BayerName,Cst,Constellation_Full,Vmag,ra_rad,dec_rad,pi_rad,mu_alpha_cosdec_rad_d,mu_delta_rad_d,HR,HIP
Toliman,Alp,Cen,Centaurus,1.33,3.838225545911058,-1.0618492492297542,3.863577e-06,-4.797551597167682e-08,1.0658335103554696e-08,5460,71681
Acrux,Alp,Cru,Crux,1.33,3.2576527881496458,-1.1012862950157196,4.9111627e-08,-4.755886158563909e-10,-1.972438412399098e-10,4730,60718
Regulus,Alp,Leo,Leo,1.35,2.65453374947578,0.2088669582943284,1.9940389e-07,-3.3015114826112223e-09,7.419872628069285e-11,3982,49669
Adhara,Eps,CMa,Canis Major,1.5,1.8265995338470582,-0.5056583510376155,3.9027505e-08,4.300605959739622e-11,1.765372199522746e-11,2618,33579
Shaula,Lam,Sco,Scorpius,1.63,4.597235527965153,-0.6475825794730329,2.7682862e-08,-1.132227433227746e-10,-4.0882303567895167e-10,6527,85927
Gacrux,Gam,Cru,Crux,1.63,3.2775777484120217,-0.9968023762895051,1.7855689e-07,3.7471020445509113e-10,-3.5185328018758607e-09,4763,61084
Bellatrix,Gam,Ori,Orion,1.64,1.4186521953408582,0.11082377487420636,6.263793e-08,-1.0764788374533435e-10,-1.7096236037483435e-10,1790,25336
Elnath,Bet,Tau,Taurus,1.65,1.423715830611476,0.4993015866634291,1.1810062e-07,3.021042951965241e-10,-2.304009822504949e-09,1791,25428
Miaplacidus,Bet,Car,Carina,1.68,2.413807864127615,-1.2167994397228061,1.3972331e-07,-2.0769006621001807e-09,1.4461451213383697e-09,3685,45238
Alnilam,Eps,Ori,Orion,1.7,1.4670083233758626,-0.02097741317448289,7.999426e-09,1.911380426550943e-11,-1.0353310643817608e-11,1903,26311
Alnair,Alp,Gru,Grus,1.74,5.795502240163804,-0.8196173670920648,1.5654635e-07,1.6816165711092983e-09,-1.957439385440747e-09,8425,109268
Alioth,Eps,UMa,Ursa Major,1.77,3.377330855683998,0.9766835090745682,1.9154989e-07,1.485434607884139e-09,-1.0937343551930395e-10,4905,62956
,Gam,Vel,Vela,1.78,2.1359888698618072,-0.8261797305540044,1.415656e-08,-8.0569994369196e-11,1.3844234617309955e-10,3207,39953
Mirfak,Alp,Per,Perseus,1.79,0.8915249884738331,0.8702428603596396,3.1222e-08,3.152450356290618e-10,-3.4816325408632803e-10,1017,15863
Dubhe,Alp,UMa,Ursa Major,1.79,2.8960711378769646,1.077760343864427,1.2866956e-07,-1.7801057569774096e-09,-4.6058958889803975e-10,4301,54061
Wezen,Del,CMa,Canis Major,1.84,1.8692102558015882,-0.46064837313145635,9.841718e-09,-4.1413242575270434e-11,4.393520286030292e-11,2693,34444
Kaus Australis,Eps,Sgr,Sagittarius,1.85,4.817861137345573,-0.6001195009860899,1.103436e-07,-5.232403917683207e-10,-1.6485656179001883e-09,6879,90185
Avior,Eps,Car,Carina,1.86,2.192632748129647,-1.0386373711245558,2.6131458e-08,-3.387390867054171e-10,2.928128625674569e-10,3307,41037
Alkaid,Eta,UMa,Ursa Major,1.86,3.610835053788943,0.8606795018599985,1.5213453e-07,-1.6083469880915123e-09,-1.9790751499912889e-10,5191,67301
Sargas,The,Sco,Scorpius,1.87,4.613423389233158,-0.7504535373357182,5.2650766e-08,7.353505252147377e-11,-4.1413242575270434e-11,6553,86228
Menkalinan,Bet,Aur,Auriga,1.9,1.5687433429451325,0.7844807289817425,1.9494358e-07,-7.491549394064945e-10,-1.260980142516247e-11,2088,28360
